"Escherichia coli str. K-12 substr. MG1655 - GI (Reference)","Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)","Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)","Escherichia coli str. K-12 substr. MG1655 - Description (Reference)","Legionella pneumophila subsp. pneumophila ATCC 43290 - ortholog count (reference : comparison)","Legionella pneumophila subsp. pneumophila ATCC 43290 - ortholuge status","Legionella pneumophila subsp. pneumophila ATCC 43290 - ortholog NCBI RefSeq accession","Campylobacter jejuni subsp. jejuni M1 - ortholog count (reference : comparison)","Campylobacter jejuni subsp. jejuni M1 - ortholuge status","Campylobacter jejuni subsp. jejuni M1 - ortholog NCBI RefSeq accession","Burkholderia multivorans ATCC 17616 NC_010801 - ortholog count (reference : comparison)","Burkholderia multivorans ATCC 17616 NC_010801 - ortholuge status","Burkholderia multivorans ATCC 17616 NC_010801 - ortholog NCBI RefSeq accession","Acinetobacter baumannii 1656-2 - ortholog count (reference : comparison)","Acinetobacter baumannii 1656-2 - ortholuge status","Acinetobacter baumannii 1656-2 - ortholog NCBI RefSeq accession","Shewanella violacea DSS12 - ortholog count (reference : comparison)","Shewanella violacea DSS12 - ortholuge status","Shewanella violacea DSS12 - ortholog NCBI RefSeq accession","Vibrio cholerae O1 biovar El Tor str. N16961 - ortholog count (reference : comparison)","Vibrio cholerae O1 biovar El Tor str. N16961 - ortholuge status","Vibrio cholerae O1 biovar El Tor str. N16961 - ortholog NCBI RefSeq accession"
"16128102","b0109","NP_414651.1","quinolinate phosphoribosyltransferase","1 to 1","SSD","WP_013101201.1","0","N/A","","2 to 1","RBB","WP_012212861.1;WP_011881601.1","1 to 1","RBB","WP_000026927.1","1 to 1","SSD","WP_013049545.1","1 to 1","SSD","NP_232052.1"
"16128103","b0110","NP_414652.1","1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase","0","N/A","","0","N/A","","1 to 1","RBB","WP_006407619.1","1 to 1","SSD","WP_000810005.1","1 to 1","SSD","WP_041420164.1","1 to 1","RBB","NP_232051.1"
"16128104","b0111","NP_414653.1","predicted inner membrane protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013049548.1","0","N/A",""
"16128105","b0112","NP_414654.1","aromatic amino acid transporter","0","N/A","","0","N/A","","1 to 2","RBB","WP_006397106.1","2 to 1","RBB","WP_000339847.1;WP_000107089.1","0","N/A","","0","N/A",""
"16128106","b0113","NP_414655.1","DNA-binding transcriptional dual regulator","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","SSD","WP_013049549.1","1 to 1","SSD","NP_232045.1"
"16128107","b0114","NP_414656.1","pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding","1 to 1","RBB","WP_015444499.1","0","N/A","","1 to 1","RBB","WP_006401967.1","1 to 1","SSD","WP_000896433.1","1 to 1","SSD","WP_013049550.1","1 to 1","SSD","NP_232044.1"
"16128108","b0115","NP_414657.1","pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2","1 to 1","SSD","WP_010947232.1","0","N/A","","1 to 1","RBB","WP_012213071.1","1 to 1","Borderline-SSD","WP_001166121.1","1 to 1","SSD","WP_013049551.1","1 to 1","SSD","NP_232043.1"
"16128109","b0116","NP_414658.1","lipoamide dehydrogenase, E3 component is part of three enzyme complexes","1 to 1","RBB","WP_015444500.1","0","N/A","","1 to 1","RBB","WP_012213072.1","2 to 1","RBB","WP_001287534.1;WP_000082613.1","1 to 1","SSD","WP_013049552.1","1 to 1","SSD","NP_232042.1"
"16128110","b0117","NP_414659.1","predicted protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_041420407.1","0","N/A",""
"16128111","b0118","NP_414660.1","bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase","0","N/A","","1 to 1","RBB","WP_002866953.1","1 to 1","RBB","WP_006397781.1","1 to 1","SSD","WP_000888596.1","1 to 1","SSD","WP_013049557.1","1 to 1","SSD","NP_230254.1"
"90111086","b0119","NP_414661.2","conserved protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013050044.1","1 to 1","RBB","NP_230255.1"
"16128113","b0120","NP_414662.1","S-adenosylmethionine decarboxylase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128114","b0121","NP_414663.1","spermidine synthase (putrescine aminopropyltransferase)","0","N/A","","0","N/A","","1 to 1","RBB","WP_012467471.1","0","N/A","","1 to 1","RBB","WP_041419599.1","0","N/A",""
"90111087","b0122","NP_414664.4","conserved protein, PulS_OutS family","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128116","b0123","NP_414665.1","multicopper oxidase (laccase)","1 to 1","RBB","WP_010946026.1","1 to 2","RBB","WP_002867060.1","1 to 2","RBB","WP_012212853.1","1 to 2","RBB","WP_000018555.1","0","N/A","","0","N/A",""
"16128117","b0124","NP_414666.1","glucose dehydrogenase","0","N/A","","0","N/A","","1 to 1","RBB","WP_006399100.1","1 to 1","RBB","WP_001075596.1","0","N/A","","0","N/A",""
"90111088","b0125","NP_414667.4","hypoxanthine phosphoribosyltransferase","1 to 1","Non-SSD","WP_010947248.1","0","N/A","","1 to 1","RBB","WP_006400411.1","1 to 1","RBB","WP_000214980.1","1 to 1","SSD","WP_013052895.1","1 to 1","SSD","NP_230235.1"
"16128119","b0126","NP_414668.1","carbonic anhydrase","1 to 1","RBB","WP_013101164.1","0","N/A","","1 to 1","RBB","WP_012467724.1","2 to 2","RBB","WP_001141695.1;WP_001111066.1","1 to 1","SSD","WP_013051206.1","1 to 1","SSD","NP_230236.1"
"16128120","b0127","NP_414669.1","predicted transporter subunit: ATP-binding component of ABC superfamily","1 to 1","SSD","WP_010946137.1","0","N/A","","1 to 1","RBB","WP_006406013.1","1 to 1","SSD","WP_000128669.1","1 to 1","SSD","WP_013052894.1","1 to 1","SSD","NP_230239.1"
"16128121","b0128","NP_414670.1","predicted transporter subunit: membrane component of ABC superfamily","1 to 1","SSD","WP_010946136.1","0","N/A","","2 to 1","RBB","WP_044582673.1;WP_006396342.1","1 to 1","SSD","WP_001010536.1","1 to 1","SSD","WP_013052893.1","1 to 1","SSD","NP_230240.1"
"16128122","b0129","NP_414671.1","predicted PTS Enzyme IIA","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128123","b0130","NP_414672.1","predicted polysaccharide deacetylase lipoprotein","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_000989966.1","1 to 1","RBB","WP_013049459.1","1 to 1","RBB","NP_229896.1"
"16128124","b0131","NP_414673.1","aspartate 1-decarboxylase","1 to 1","SSD","WP_010948614.1","0","N/A","","1 to 1","RBB","WP_006398605.1","1 to 1","RBB","WP_000952664.1","0","N/A","","0","N/A",""
"16128125","b0132","NP_414674.1","predicted transposase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128126","b0133","NP_414675.1","pantothenate synthetase","1 to 1","Borderline-SSD","WP_010948362.1","0","N/A","","1 to 1","RBB","WP_006398606.1","1 to 1","SSD","WP_000846362.1","1 to 1","SSD","WP_013052890.1","1 to 1","SSD","NP_230241.1"
"16128127","b0134","NP_414676.1","3-methyl-2-oxobutanoate hydroxymethyltransferase","1 to 1","SSD","WP_015443983.1","0","N/A","","1 to 1","RBB","WP_012214076.1","1 to 1","SSD","WP_000624763.1","1 to 1","SSD","WP_013052888.1","1 to 1","SSD","NP_230242.1"
"16128128","b0135","NP_414677.1","predicted fimbrial-like adhesin protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128129","b0136","NP_414678.1","predicted fimbrial-like adhesin protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128130","b0137","NP_414679.1","predicted fimbrial-like adhesin protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"90111089","b0138","NP_414680.4","predicted fimbrial-like adhesin protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128132","b0139","NP_414681.1","predicted outer membrane usher protein","0","N/A","","0","N/A","","0","N/A","","2 to 1","RBB","WP_001124960.1;WP_001078509.1","0","N/A","","0","N/A",""
"16128133","b0140","NP_414682.1","predicted periplasmic pilin chaperone","0","N/A","","0","N/A","","0","N/A","","2 to 1","RBB","WP_000774087.1;WP_000898893.1","0","N/A","","0","N/A",""
"16128134","b0141","NP_414683.1","predicted fimbrial-like adhesin protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128135","b0142","NP_414684.1","2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase","1 to 1","Borderline-SSD","WP_010947268.1","1 to 1","RBB","WP_002851803.1","1 to 1","RBB","WP_006417097.1","1 to 1","SSD","WP_000219213.1","1 to 1","SSD","WP_013052887.1","1 to 1","SSD","NP_230243.1"
"162135892","b0143","NP_414685.4","poly(A) polymerase I","1 to 1","SSD","WP_015444485.1","0","N/A","","1 to 1","RBB","WP_012214075.1","1 to 1","SSD","WP_001194207.1","1 to 1","SSD","WP_041420446.1","1 to 1","SSD","NP_230244.1"
"226524698","b0144","NP_414686.3","glutamyl-Q tRNA(Asp) synthetase","0","N/A","","0","N/A","","1 to 1","RBB","WP_012212969.1","1 to 1","Borderline-SSD","WP_000216739.1","1 to 1","SSD","WP_013052885.1","1 to 1","SSD","NP_230245.1"
"16128138","b0145","NP_414687.1","DNA-binding transcriptional regulator of rRNA transcription, DnaK suppressor protein","1 to 1","SSD","WP_010948044.1","1 to 1","RBB","WP_002851949.1","1 to 1","RBB","WP_006402995.1","1 to 1","SSD","WP_001262524.1","1 to 1","SSD","WP_013052884.1","1 to 1","SSD","NP_230246.1"
"16128139","b0146","NP_414688.1","predicted DNA-binding transcriptional regulator","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","SSD","WP_041420062.1","1 to 1","SSD","NP_230247.1"
"90111091","b0147","NP_414689.4","2'-5' RNA ligase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013052881.1","0","N/A",""
"162135893","b0148","NP_414690.4","predicted ATP-dependent helicase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","SSD","WP_041420445.1","1 to 1","SSD","NP_230251.1"
"16128142","b0149","NP_414691.1","fused glycosyl transferase and transpeptidase","0","N/A","","1 to 1","RBB","WP_002857099.1","0","N/A","","1 to 1","RBB","WP_000667420.1","1 to 1","SSD","WP_013052879.1","1 to 1","SSD","NP_230252.1"
"16128143","b0150","NP_414692.1","ferrichrome outer membrane transporter","0","N/A","","0","N/A","","1 to 1","RBB","WP_012213360.1","1 to 1","Borderline-SSD","WP_000194067.1","1 to 1","RBB","WP_013052834.1","1 to 1","RBB","NP_229857.1"
"16128144","b0151","NP_414693.1","iron-hydroxamate transporter subunit","0","N/A","","1 to 3","RBB","WP_002866772.1","0","N/A","","1 to 3","RBB","WP_000582115.1","3 to 1","RBB","WP_013049938.1","1 to 1","Non-SSD","NP_229858.1"
"16128145","b0152","NP_414694.1","iron-hydroxamate transporter subunit","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","Borderline-SSD","NP_229859.1"
"16128146","b0153","NP_414695.1","fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","Borderline-SSD","NP_229860.1"
"16128147","b0154","NP_414696.1","glutamate-1-semialdehyde aminotransferase (aminomutase)","1 to 1","SSD","WP_015444486.1","1 to 1","SSD","WP_002866940.1","1 to 1","RBB","WP_012213939.1","1 to 1","SSD","WP_000059234.1","1 to 1","SSD","WP_013050177.1","1 to 1","SSD","NP_230275.1"
"16128148","b0155","NP_414697.1","chloride channel, voltage-gated","1 to 1","RBB","WP_010947459.1","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_232917.1"
"16128149","b0156","NP_414698.1","iron-sulfur cluster insertion protein","1 to 1","SSD","WP_010947118.1","0","N/A","","1 to 1","RBB","WP_006401687.1","1 to 1","SSD","WP_000993572.1","1 to 1","SSD","WP_041419668.1","1 to 1","SSD","NP_230276.1"
"16128150","b0157","NP_414699.1","inner membrane protein, UPF0126 family","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","SSD","WP_013050191.1","1 to 1","RBB","NP_232012.1"
"16128151","b0158","NP_414700.1","vitamin B12 transporter subunit: periplasmic-binding component of ABC superfamily","0","N/A","","1 to 1","RBB","WP_002866595.1","1 to 1","RBB","WP_012212893.1","1 to 1","RBB","WP_000770288.1","1 to 1","RBB","WP_013049945.1","1 to 1","Borderline-SSD","NP_232011.1"
"16128152","b0159","NP_414701.1","5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase","0","N/A","","1 to 1","RBB","WP_002866733.1","1 to 1","RBB","WP_006413405.1","1 to 1","RBB","WP_001159877.1","1 to 1","RBB","WP_013050194.1","1 to 1","SSD","NP_232009.1"
"16128153","b0160","NP_414702.1","deoxyguanosine triphosphate triphosphohydrolase","2 to 1","RBB","WP_032803142.1;WP_016356938.1","0","N/A","","1 to 1","RBB","WP_006400617.1","1 to 1","RBB","WP_000437078.1","1 to 1","SSD","WP_013051303.1","1 to 2","Non-SSD","NP_231613.1;NP_232704.1"
"16128154","b0161","NP_414703.1","serine endoprotease (protease Do), membrane-associated","1 to 2","RBB","WP_015444546.1","1 to 2","RBB","WP_002853541.1","2 to 2","RBB","WP_006400570.1;WP_012213790.1","1 to 2","RBB","WP_000842416.1","2 to 1","RBB","WP_013049715.1","0","N/A",""
"90111093","b0162","NP_414704.4","DNA-binding transcriptional regulator for gar and gud operons; carbohydrate diacid regulator","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_233290.1"
"16128156","b0163","NP_414705.1","conserved protein, UPF0325 family","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","SSD","NP_231895.1"
"90111094","b0164","NP_414706.2","phosphodiesterase with model substrate bis-pNPP","0","N/A","","1 to 1","RBB","WP_002866945.1","1 to 1","RBB","WP_012216801.1","1 to 1","RBB","WP_000267335.1","0","N/A","","0","N/A",""
"16128159","b0166","NP_414708.1","2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase","1 to 1","SSD","WP_014326845.1","1 to 1","RBB","WP_002866583.1","1 to 1","RBB","WP_006402635.1","1 to 1","SSD","WP_000080867.1","1 to 1","RBB","WP_013050511.1","0","N/A",""
"16128160","b0167","NP_414709.1","uridylyltransferase","1 to 1","SSD","WP_010947447.1","0","N/A","","1 to 1","RBB","WP_012213136.1","1 to 1","SSD","WP_000611178.1","1 to 1","SSD","WP_013050512.1","1 to 1","SSD","NP_231893.1"
"16128161","b0168","NP_414710.1","methionine aminopeptidase","1 to 1","SSD","WP_010947446.1","1 to 1","SSD","WP_002877875.1","2 to 1","RBB","WP_006402644.1;WP_006408149.1","1 to 1","RBB","WP_001089491.1","1 to 1","SSD","WP_013050513.1","1 to 1","SSD","NP_231892.1"
"16128162","b0169","NP_414711.1","30S ribosomal subunit protein S2","1 to 1","SSD","WP_010947441.1","1 to 1","RBB","WP_002853455.1","1 to 1","RBB","WP_006402646.1","1 to 1","SSD","WP_001982118.1","1 to 1","SSD","WP_013050514.1","1 to 1","SSD","NP_231891.1"
"16128163","b0170","NP_414712.1","protein chain elongation factor EF-Ts","1 to 1","SSD","WP_010947440.1","1 to 1","RBB","WP_002866193.1","1 to 1","RBB","WP_012213138.1","1 to 1","SSD","WP_000125378.1","1 to 1","SSD","WP_013050515.1","1 to 1","SSD","NP_231890.1"
"16128164","b0171","NP_414713.1","uridylate kinase","1 to 1","SSD","WP_010947439.1","1 to 1","SSD","WP_002854049.1","1 to 1","RBB","WP_006402648.1","1 to 1","SSD","WP_000852257.1","1 to 1","SSD","WP_013050516.1","1 to 1","SSD","NP_231889.1"
"16128165","b0172","NP_414714.1","ribosome recycling factor","1 to 1","SSD","WP_010947438.1","1 to 1","RBB","WP_041176743.1","1 to 1","RBB","WP_006402649.1","1 to 1","SSD","WP_000606428.1","1 to 1","SSD","WP_013050517.1","1 to 1","SSD","NP_231888.1"
"16128166","b0173","NP_414715.1","1-deoxy-D-xylulose 5-phosphate reductoisomerase","0","N/A","","1 to 1","RBB","WP_002866764.1","1 to 1","RBB","WP_006407705.1","1 to 1","SSD","WP_000194652.1","1 to 1","SSD","WP_013050520.1","1 to 1","SSD","NP_231885.1"
"16128167","b0174","NP_414716.1","undecaprenyl pyrophosphate synthase","1 to 1","SSD","WP_010946251.1","1 to 1","SSD","WP_002852565.1","1 to 1","RBB","WP_006410014.1","1 to 1","SSD","WP_000132219.1","1 to 1","SSD","WP_013050518.1","1 to 1","SSD","NP_231887.1"
"90111095","b0175","NP_414717.2","CDP-diglyceride synthase","1 to 1","SSD","WP_015444807.1","1 to 1","RBB","YP_005658245","1 to 2","RBB","WP_006413368.1","1 to 1","SSD","WP_000893489.1","1 to 1","SSD","WP_013050519.1","1 to 1","SSD","NP_231886.1"
"16128169","b0176","NP_414718.1","inner membrane zinc RIP metalloprotease; RpoE activator, by degrading RseA","1 to 1","SSD","WP_015444806.1","1 to 1","RBB","WP_002877745.1","1 to 1","RBB","WP_012213139.1","1 to 1","SSD","WP_000992582.1","1 to 1","SSD","YP_003555989","1 to 1","SSD","NP_231884.1"
"16128170","b0177","NP_414719.1","outer membrane protein assembly factor, forms pores; required for OM biogenesis; in BamABCD OM protein complex","1 to 1","SSD","WP_015444805.1","1 to 1","RBB","WP_002877212.1","1 to 1","RBB","WP_012213140.1","1 to 1","SSD","WP_002016574.1","1 to 1","SSD","WP_013050523.1","1 to 1","SSD","NP_231883.1"
"16128171","b0178","NP_414720.1","periplasmic chaperone","1 to 1","RBB","WP_010946255.1","0","N/A","","1 to 1","RBB","WP_006402655.1","0","N/A","","1 to 1","RBB","WP_041420231.1","1 to 1","RBB","NP_231882.1"
"16128172","b0179","NP_414721.1","UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase","1 to 1","RBB","WP_010946256.1","1 to 1","RBB","WP_002866452.1","1 to 1","RBB","WP_006413364.1","1 to 1","SSD","WP_000868104.1","1 to 1","SSD","WP_013050525.1","1 to 1","SSD","NP_231881.1"
"16128173","b0180","NP_414722.1","(3R)-hydroxymyristol acyl carrier protein dehydratase","1 to 1","SSD","WP_010946258.1","1 to 1","RBB","WP_002851782.1","1 to 1","RBB","WP_006402657.1","1 to 1","SSD","WP_000140523.1","1 to 1","SSD","WP_013050526.1","1 to 1","SSD","NP_231880.1"
"16128174","b0181","NP_414723.1","UDP-N-acetylglucosamine acetyltransferase","1 to 1","SSD","WP_010946259.1","1 to 1","RBB","WP_002854387.1","1 to 1","RBB","WP_006402658.1","1 to 1","SSD","WP_000064875.1","1 to 1","Borderline-SSD","WP_013050527.1","1 to 1","SSD","NP_231879.1"
"16128175","b0182","NP_414724.1","tetraacyldisaccharide-1-P synthase","1 to 1","SSD","WP_015443877.1","1 to 1","RBB","WP_014516928.1","1 to 1","RBB","WP_012213142.1","1 to 1","SSD","WP_000013434.1","1 to 1","SSD","WP_013050528.1","1 to 1","SSD","NP_231878.1"
"16128176","b0183","NP_414725.1","ribonuclease HII, degrades RNA of DNA-RNA hybrids","1 to 1","SSD","WP_010947103.1","1 to 1","RBB","WP_002857688.1","1 to 1","RBB","WP_006402660.1","1 to 1","SSD","WP_000495837.1","1 to 1","SSD","WP_013050529.1","1 to 1","SSD","NP_231877.1"
"16128177","b0184","NP_414726.1","DNA polymerase III alpha subunit","1 to 1","SSD","WP_010946697.1","1 to 1","RBB","WP_002877994.1","1 to 1","RBB","WP_012212971.1","1 to 1","SSD","WP_001160989.1","1 to 1","SSD","WP_013050530.1","1 to 1","SSD","NP_231876.1"
"16128178","b0185","NP_414727.1","acetyl-CoA carboxylase, carboxytransferase, alpha subunit","1 to 1","SSD","WP_010946522.1","1 to 1","RBB","WP_002854780.1","1 to 1","RBB","WP_006401892.1","1 to 1","SSD","WP_000710404.1","0","N/A","","1 to 1","SSD","NP_231875.1"
"16128179","b0186","NP_414728.1","lysine decarboxylase 2, constitutive","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"90111096","b0187","NP_414729.4","predicted lyase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","Non-SSD","NP_233275.1"
"16128181","b0188","NP_414730.1","tRNA(Ile)-lysidine synthetase","1 to 1","SSD","WP_027225284.1","1 to 1","RBB","WP_002867020.1","1 to 1","RBB","WP_012213112.1","1 to 1","SSD","WP_000377920.1","1 to 1","SSD","WP_013050531.1","1 to 1","SSD","NP_231873.1"
"90111097","b0189","NP_414731.2","modulator of Rho-dependent transcription termination","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_233332.1"
"16128183","b0190","NP_414732.1","conserved protein","0","N/A","","0","N/A","","1 to 1","RBB","WP_006401764.1","1 to 1","SSD","WP_001185269.1","1 to 1","Borderline-SSD","WP_013050860.1","0","N/A",""
"16128184","b0191","NP_414733.1","conserved protein","0","N/A","","0","N/A","","1 to 1","RBB","WP_006401169.1","0","N/A","","1 to 1","SSD","WP_013053043.1","0","N/A",""
"16128185","b0192","NP_414734.1","lipoprotein involved with copper homeostasis and adhesion","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_000749178.1","1 to 1","RBB","WP_041420047.1","1 to 1","RBB","NP_231596.1"
"90111098","b0193","NP_414735.4","predicted lipoprotein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128187","b0194","NP_414736.1","prolyl-tRNA synthetase","1 to 1","SSD","WP_015444749.1","1 to 1","SSD","WP_002866425.1","1 to 1","RBB","WP_006400413.1","1 to 1","SSD","WP_001202763.1","1 to 1","SSD","WP_013050538.1","1 to 1","SSD","NP_230522.1"
"16128188","b0195","NP_414737.1","conserved protein, UPF0066 family","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_000337222.1","1 to 1","SSD","WP_013050543.1","1 to 1","SSD","NP_230523.1"
"16128189","b0196","NP_414738.1","predicted outer membrane protein, signal","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013050544.1","0","N/A",""
"16128190","b0197","NP_414739.1","DL-methionine transporter subunit","1 to 2","SSD","WP_011215805.1","3 to 2","RBB","WP_014516994.1;WP_014517072.1;WP_014516993.1","3 to 1","RBB","WP_012216321.1;WP_006398211.1;WP_012213834.1","2 to 2","RBB","WP_001007359.1;WP_000079412.1","0","N/A","","1 to 1","RBB","NP_230552.2"
"16128191","b0198","NP_414740.1","DL-methionine transporter subunit","1 to 1","SSD","WP_010947560.1","1 to 1","RBB","WP_004304137.1","2 to 1","RBB","WP_012216357.1;WP_012213835.1","1 to 1","RBB","WP_001153955.1","0","N/A","","1 to 1","RBB","NP_230553.1"
"16128192","b0199","NP_414741.1","DL-methionine transporter subunit","1 to 1","SSD","WP_015444409.1","1 to 1","RBB","WP_002893140.1","1 to 1","RBB","WP_006414351.1","1 to 1","RBB","WP_000614025.1","0","N/A","","1 to 1","RBB","NP_230554.1"
"16128193","b0200","NP_414742.1","D,D-heptose 1,7-bisphosphate phosphatase","1 to 1","SSD","WP_010947564.1","1 to 1","RBB","WP_002877124.1","1 to 1","RBB","WP_006398899.1","0","N/A","","1 to 1","RBB","WP_013051002.1","1 to 1","SSD","NP_230555.1"
"16128194","b0207","NP_414743.1","2,5-diketo-D-gluconate reductase B","2 to 2","RBB","WP_010946265.1;WP_010947778.1","0","N/A","","1 to 1","RBB","WP_012216326.1","1 to 1","RBB","WP_001025233.1","0","N/A","","0","N/A",""
